"","station_nbr","date","tmax","tmin","tavg","dewpoint","wetbulb","heat","cool","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","eventdist"
"1",1,"2012-01-01",52,31,42,36,40,23,0,NA,0,29,29,3,20,4,0
"20",1,"2012-01-02",50,31,41,26,35,24,0,NA,0,29,29,9,24,10,0
"39",1,"2012-01-03",32,11,22,4,18,43,0,NA,0,29,29,10,31,11,0
"58",1,"2012-01-04",28,9,19,-1,14,46,0,NA,0,29,30,6,27,8,0
"77",1,"2012-01-05",38,25,32,13,25,33,0,NA,0,29,29,6,25,7,0
"96",1,"2012-01-06",46,25,36,21,29,29,0,NA,0,29,29,0,1,2,0
"115",1,"2012-01-07",57,28,43,28,36,22,0,NA,0,29,29,3,26,3,0
"134",1,"2012-01-08",45,27,36,22,32,29,0,NA,0,29,30,5,30,6,0
"153",1,"2012-01-09",39,23,31,12,25,34,0,NA,0,30,30,2,23,4,0
"172",1,"2012-01-10",47,29,38,24,32,27,0,NA,0,29,29,5,25,6,0
"191",1,"2012-01-11",39,24,32,21,29,33,0,NA,0,29,30,3,7,4,0
"210",1,"2012-01-12",40,31,36,31,34,29,0,NA,0,29,29,10,5,12,0
"229",1,"2012-01-13",50,30,40,27,32,25,0,NA,0,29,29,8,24,12,0
"248",1,"2012-01-14",35,14,25,12,23,40,0,NA,0,29,29,11,28,12,0
"267",1,"2012-01-15",16,4,10,-5,7,55,0,NA,0,30,30,11,31,11,0
"286",1,"2012-01-16",32,8,20,3,17,45,0,NA,0,30,30,5,23,7,0
"305",1,"2012-01-17",46,32,39,34,37,26,0,NA,0,29,29,4,21,5,0
"324",1,"2012-01-18",50,19,35,15,29,30,0,NA,0,29,29,13,29,15,0
"343",1,"2012-01-19",31,13,22,11,20,43,0,NA,0,30,30,1,4,2,0
"362",1,"2012-01-20",31,19,25,12,23,40,0,NA,0,29,30,6,29,6,0
"381",1,"2012-01-21",20,13,17,9,16,48,0,NA,0,30,30,5,1,6,0
"400",1,"2012-01-22",28,7,18,12,18,47,0,NA,0,30,30,3,4,3,0
"419",1,"2012-01-23",48,27,38,30,34,27,0,NA,0,30,30,0,7,2,0
"438",1,"2012-01-24",55,41,48,39,44,17,0,NA,0,29,29,6,25,8,1
"457",1,"2012-01-25",42,35,39,23,32,26,0,NA,0,29,30,8,28,8,2
"476",1,"2012-01-26",43,32,38,23,31,27,0,NA,0,30,30,1,35,4,3
"495",1,"2012-01-27",45,34,40,36,38,25,0,NA,1,29,29,3,36,7,4
"514",1,"2012-01-28",48,32,40,27,35,25,0,NA,0,29,29,5,25,8,3
"533",1,"2012-01-29",43,31,37,15,30,28,0,NA,0,29,30,10,25,11,2
"552",1,"2012-01-30",39,25,32,15,27,33,0,NA,0,29,30,6,28,7,1
"571",1,"2012-01-31",44,25,35,26,31,30,0,NA,0,30,30,2,3,3,0
"590",1,"2012-02-01",56,31,44,33,37,21,0,NA,0,29,29,4,26,5,0
"609",1,"2012-02-02",43,30,37,26,32,28,0,NA,0,29,30,4,4,7,0
"628",1,"2012-02-03",38,23,31,13,26,34,0,NA,0,30,30,6,31,7,0
"647",1,"2012-02-04",39,26,33,16,28,32,0,NA,0,30,30,5,31,8,0
"666",1,"2012-02-05",36,17,27,8,22,38,0,NA,0,29,30,2,28,3,0
"685",1,"2012-02-06",52,26,39,18,31,26,0,NA,0,29,29,9,23,9,0
"704",1,"2012-02-07",45,27,36,20,31,29,0,NA,0,29,30,5,31,6,0
"723",1,"2012-02-08",38,17,28,7,23,37,0,NA,0,30,30,2,23,4,0
"742",1,"2012-02-09",48,27,38,12,29,27,0,NA,0,29,30,4,27,5,0
"761",1,"2012-02-10",51,25,38,17,32,27,0,NA,0,29,30,6,21,6,0
"780",1,"2012-02-11",41,27,34,23,31,31,0,NA,0,29,29,5,35,7,0
"799",1,"2012-02-12",27,13,20,0,14,45,0,NA,0,29,29,11,31,12,0
"818",1,"2012-02-13",41,14,28,11,24,37,0,NA,0,29,29,8,24,9,0
"837",1,"2012-02-14",45,23,34,15,28,31,0,NA,0,29,30,2,21,3,0
"856",1,"2012-02-15",45,32,39,29,34,26,0,NA,0,29,30,0,3,0,0
"875",1,"2012-02-16",47,27,37,30,35,28,0,NA,0,30,30,2,21,2,0
"894",1,"2012-02-17",52,35,44,30,38,21,0,NA,0,29,29,6,25,8,0
"913",1,"2012-02-18",48,31,40,22,32,25,0,NA,0,29,29,8,27,8,0
"932",1,"2012-02-19",44,28,36,18,29,29,0,NA,0,29,30,6,32,6,0
"951",1,"2012-02-20",41,24,33,11,26,32,0,NA,0,29,30,6,32,6,0
"970",1,"2012-02-21",44,20,32,19,29,33,0,NA,0,30,30,3,19,4,0
"989",1,"2012-02-22",56,34,45,29,39,20,0,NA,0,29,29,6,23,6,0
"1008",1,"2012-02-23",51,39,45,32,39,20,0,NA,0,29,29,4,29,5,0
"1027",1,"2012-02-24",41,33,37,30,35,28,0,NA,0,29,29,2,6,3,0
"1046",1,"2012-02-25",44,31,38,22,32,27,0,NA,0,29,29,17,27,18,0
"1065",1,"2012-02-26",39,25,32,5,24,33,0,NA,0,29,30,11,30,11,0
"1084",1,"2012-02-27",51,20,36,20,31,29,0,NA,0,30,30,4,20,5,0
"1103",1,"2012-02-28",45,30,38,18,32,27,0,NA,0,30,30,7,30,8,0
"1122",1,"2012-02-29",37,30,34,21,29,31,0,NA,0,30,30,3,7,3,0
"1141",1,"2012-03-01",35,23,29,26,28,36,0,NA,0,29,29,12,4,13,0
"1160",1,"2012-03-02",31,21,26,21,24,39,0,NA,0,29,30,3,3,4,0
"1179",1,"2012-03-03",43,30,37,34,37,28,0,NA,0,29,29,1,17,4,0
"1198",1,"2012-03-04",41,31,36,21,31,29,0,NA,0,29,29,5,24,5,0
"1217",1,"2012-03-05",35,22,29,11,24,36,0,NA,0,29,29,9,28,10,0
"1236",1,"2012-03-06",38,17,28,3,21,37,0,NA,0,30,30,5,30,6,0
"1255",1,"2012-03-07",60,27,44,26,37,21,0,NA,0,30,30,9,21,9,0
"1274",1,"2012-03-08",71,49,60,44,51,5,0,NA,0,29,29,17,21,17,0
"1293",1,"2012-03-09",62,33,48,23,35,17,0,NA,0,29,30,7,29,9,0
"1312",1,"2012-03-10",40,29,35,22,30,30,0,NA,0,30,30,2,35,6,0
"1331",1,"2012-03-11",59,29,44,22,36,21,0,NA,0,30,30,8,22,9,0
"1350",1,"2012-03-12",73,38,56,30,44,9,0,NA,0,30,30,3,22,4,0
"1369",1,"2012-03-13",74,53,64,46,54,1,0,NA,0,29,29,5,22,6,0
"1388",1,"2012-03-14",59,39,NA,39,42,NA,NA,NA,0,29,30,6,7,7,0
"1407",1,"2012-03-15",44,37,41,31,36,24,0,NA,0,30,30,3,7,4,0
"1426",1,"2012-03-16",44,37,41,35,38,24,0,NA,0,30,30,1,19,3,0
"1445",1,"2012-03-17",53,39,46,39,43,19,0,NA,0,30,30,0,36,2,0
"1464",1,"2012-03-18",79,40,60,43,51,5,0,NA,0,30,30,6,22,6,0
"1483",1,"2012-03-19",80,45,63,44,51,2,0,NA,0,30,30,3,8,5,0
"1502",1,"2012-03-20",82,41,62,45,53,3,0,NA,0,30,30,3,21,4,0
"1521",1,"2012-03-21",82,57,70,53,60,0,5,NA,0,30,30,7,22,7,0
"1540",1,"2012-03-22",85,57,71,52,60,0,6,NA,0,29,30,5,24,6,0
"1559",1,"2012-03-23",75,58,67,34,52,0,2,NA,0,29,30,9,33,9,0
"1578",1,"2012-03-24",58,47,53,28,41,12,0,NA,0,29,30,2,10,4,0
"1597",1,"2012-03-25",48,42,45,38,42,20,0,NA,0,29,29,2,5,3,0
"1616",1,"2012-03-26",47,32,40,20,33,25,0,NA,0,29,29,12,32,13,0
"1635",1,"2012-03-27",48,26,37,0,27,28,0,NA,0,29,30,10,32,10,0
"1654",1,"2012-03-28",54,35,45,28,38,20,0,NA,0,29,29,1,17,4,0
"1673",1,"2012-03-29",46,39,43,32,38,22,0,NA,0,29,29,6,35,7,0
"1692",1,"2012-03-30",50,34,42,15,33,23,0,NA,0,29,30,7,32,8,0
"1711",1,"2012-03-31",48,33,41,27,35,24,0,NA,0,29,29,4,7,5,0
"1730",1,"2012-04-01",53,29,41,31,37,24,0,NA,0,29,29,1,20,2,0
"1749",1,"2012-04-02",55,37,46,23,37,19,0,NA,0,29,29,10,34,10,0
"1768",1,"2012-04-03",59,31,45,11,34,20,0,NA,0,29,29,8,32,8,0
"1787",1,"2012-04-04",63,38,51,22,39,14,0,NA,0,29,29,7,30,8,0
"1806",1,"2012-04-05",52,37,45,23,35,20,0,NA,0,29,29,9,32,10,0
"1825",1,"2012-04-06",53,32,43,19,34,22,0,NA,0,29,29,6,31,7,0
"1844",1,"2012-04-07",56,33,45,21,35,20,0,NA,0,29,29,3,34,5,0
"1863",1,"2012-04-08",50,40,45,26,38,20,0,NA,0,29,29,4,31,6,0
"1882",1,"2012-04-09",55,37,46,30,41,19,0,NA,0,29,29,13,26,14,0
"1901",1,"2012-04-10",62,43,53,27,41,12,0,NA,0,29,29,6,25,7,0
"1920",1,"2012-04-11",60,42,51,31,41,14,0,NA,0,29,29,1,3,4,0
"1939",1,"2012-04-12",57,39,48,38,42,17,0,NA,0,29,29,3,1,4,0
"1958",1,"2012-04-13",65,34,50,28,41,15,0,NA,0,29,30,4,30,4,0
"1977",1,"2012-04-14",72,39,56,26,44,9,0,NA,0,29,30,4,23,5,0
"1996",1,"2012-04-15",80,51,66,45,56,0,1,NA,0,29,29,7,24,7,0
"2015",1,"2012-04-16",92,62,77,54,63,0,12,NA,0,29,29,6,21,6,0
"2034",1,"2012-04-17",83,59,71,37,55,0,6,NA,0,29,30,7,29,9,0
"2053",1,"2012-04-18",63,46,55,31,44,10,0,NA,0,30,30,2,33,5,0
"2072",1,"2012-04-19",71,41,56,39,48,9,0,NA,0,29,30,2,19,4,0
"2091",1,"2012-04-20",80,49,65,42,53,0,0,NA,0,29,29,7,20,8,1
"2110",1,"2012-04-21",79,57,68,52,58,0,3,NA,0,29,29,7,20,8,2
"2129",1,"2012-04-22",63,43,53,46,48,12,0,NA,0,29,29,10,4,11,3
"2148",1,"2012-04-23",66,43,55,50,52,10,0,NA,1,29,29,5,9,10,4
"2167",1,"2012-04-24",60,47,54,33,44,11,0,NA,0,29,29,9,21,10,3
"2186",1,"2012-04-25",64,44,54,32,43,11,0,NA,0,29,29,8,26,8,2
"2205",1,"2012-04-26",65,39,52,36,44,13,0,NA,0,29,29,3,16,5,1
"2224",1,"2012-04-27",56,39,48,33,43,17,0,NA,0,29,29,13,29,14,0
"2243",1,"2012-04-28",58,37,48,19,36,17,0,NA,0,29,30,9,30,9,0
"2262",1,"2012-04-29",58,39,49,15,37,16,0,NA,0,29,30,8,31,8,0
"2281",1,"2012-04-30",63,36,50,24,40,15,0,NA,0,30,30,2,22,4,0
"2300",1,"2012-05-01",51,44,48,40,44,17,0,NA,0,30,30,4,7,6,0
"2319",1,"2012-05-02",53,45,49,43,46,16,0,NA,0,30,30,5,6,6,0
"2338",1,"2012-05-03",55,47,51,45,48,14,0,NA,0,30,30,1,13,2,0
"2357",1,"2012-05-04",56,50,53,50,51,12,0,NA,0,29,29,1,7,3,0
"2376",1,"2012-05-05",66,50,58,49,52,7,0,NA,0,29,30,2,7,2,0
"2395",1,"2012-05-06",62,47,55,41,48,10,0,NA,0,29,30,2,8,3,0
"2414",1,"2012-05-07",70,45,58,40,49,7,0,NA,0,29,30,1,11,5,0
"2433",1,"2012-05-08",57,49,53,46,50,12,0,NA,0,29,30,4,19,5,0
"2452",1,"2012-05-09",65,57,61,58,59,4,0,NA,0,29,29,3,21,4,0
"2471",1,"2012-05-10",67,49,58,48,53,7,0,NA,0,29,29,7,28,9,0
"2490",1,"2012-05-11",65,45,55,36,46,10,0,NA,0,29,29,6,28,8,0
"2509",1,"2012-05-12",80,42,61,37,50,4,0,NA,0,29,30,5,26,6,0
"2528",1,"2012-05-13",85,51,68,47,57,0,3,NA,0,29,30,2,22,4,0
"2547",1,"2012-05-14",71,56,64,52,56,1,0,NA,0,29,30,1,5,3,0
"2566",1,"2012-05-15",74,60,67,56,60,0,2,NA,0,29,30,4,18,5,0
"2585",1,"2012-05-16",75,63,69,61,63,0,4,NA,0,29,29,3,21,4,0
"2604",1,"2012-05-17",69,47,58,41,51,7,0,NA,0,29,30,6,30,7,0
"2623",1,"2012-05-18",72,43,58,40,50,7,0,NA,0,30,30,1,12,4,0
"2642",1,"2012-05-19",78,46,62,44,53,3,0,NA,0,30,30,1,9,2,0
"2661",1,"2012-05-20",83,51,67,46,55,0,2,NA,0,30,30,2,14,2,0
"2680",1,"2012-05-21",73,49,61,54,57,4,0,NA,0,30,30,4,7,5,0
"2699",1,"2012-05-22",65,58,62,59,60,3,0,NA,0,29,29,6,5,6,0
"2718",1,"2012-05-23",79,60,70,61,64,0,5,NA,0,29,29,0,5,2,0
"2737",1,"2012-05-24",78,59,69,59,63,0,4,NA,0,30,30,4,12,4,0
"2756",1,"2012-05-25",76,59,68,61,63,0,3,NA,0,30,30,2,17,4,0
"2775",1,"2012-05-26",86,61,74,62,67,0,9,NA,0,29,30,5,23,5,0
"2794",1,"2012-05-27",76,58,67,51,59,0,2,NA,0,29,30,3,8,4,0
"2813",1,"2012-05-28",77,59,68,55,60,0,3,NA,0,29,30,4,8,5,0
"2832",1,"2012-05-29",76,61,69,59,62,0,4,NA,0,29,29,3,6,4,0
"2851",1,"2012-05-30",77,62,70,61,64,0,5,NA,0,29,29,3,22,3,1
"2870",1,"2012-05-31",80,61,71,53,60,0,6,NA,0,29,29,4,32,5,2
"2889",1,"2012-06-01",71,56,64,44,53,1,0,NA,0,29,30,5,7,6,3
"2909",1,"2012-06-02",61,55,58,54,56,7,0,NA,1,29,29,8,10,9,4
"2929",1,"2012-06-03",61,53,57,53,55,8,0,NA,0,29,29,9,1,9,3
"2949",1,"2012-06-04",53,50,52,48,49,13,0,NA,0,29,29,10,4,11,2
"2969",1,"2012-06-05",58,50,54,48,50,11,0,NA,0,29,29,4,2,4,1
"2989",1,"2012-06-06",67,49,58,49,53,7,0,NA,0,29,29,1,10,2,0
"3009",1,"2012-06-07",71,50,61,52,55,4,0,NA,0,29,29,2,7,3,0
"3029",1,"2012-06-08",81,52,67,55,59,0,2,NA,0,29,29,3,23,3,0
"3049",1,"2012-06-09",79,56,68,50,58,0,3,NA,0,29,29,5,30,5,0
"3069",1,"2012-06-10",81,53,67,49,57,0,2,NA,0,29,30,2,12,4,0
"3089",1,"2012-06-11",74,55,65,53,59,0,0,NA,0,30,30,3,16,4,0
"3109",1,"2012-06-12",78,60,69,56,61,0,4,NA,0,29,30,7,21,7,0
"3129",1,"2012-06-13",68,63,66,62,63,0,1,NA,0,29,30,1,18,3,0
"3149",1,"2012-06-14",77,54,66,53,59,0,1,NA,0,30,30,4,5,6,0
"3169",1,"2012-06-15",74,51,63,50,56,2,0,NA,0,30,30,4,6,5,0
"3189",1,"2012-06-16",66,50,58,51,54,7,0,NA,0,30,30,5,6,5,0
"3209",1,"2012-06-17",70,48,59,49,54,6,0,NA,0,30,30,1,11,3,0
"3229",1,"2012-06-18",72,54,63,51,56,2,0,NA,0,30,30,2,9,3,0
"3249",1,"2012-06-19",77,55,66,58,62,0,1,NA,0,29,30,6,22,7,0
"3269",1,"2012-06-20",96,65,81,68,73,0,16,NA,0,29,29,4,28,6,0
"3289",1,"2012-06-21",95,75,85,68,73,0,20,NA,0,29,29,4,29,5,0
"3309",1,"2012-06-22",94,71,83,66,71,0,18,NA,0,29,29,4,26,5,0
"3329",1,"2012-06-23",86,63,75,62,66,0,10,NA,0,29,29,1,6,4,0
"3349",1,"2012-06-24",84,59,72,54,62,0,7,NA,0,29,29,3,26,5,0
"3369",1,"2012-06-25",73,63,68,61,64,0,3,NA,0,29,29,3,21,4,0
"3389",1,"2012-06-26",72,60,66,55,59,0,1,NA,0,29,29,7,29,8,0
"3409",1,"2012-06-27",76,60,68,54,60,0,3,NA,0,29,29,9,27,10,0
"3429",1,"2012-06-28",84,62,73,56,63,0,8,NA,0,29,29,3,28,6,0
"3449",1,"2012-06-29",91,65,78,61,67,0,13,NA,0,29,29,4,24,5,0
"3469",1,"2012-06-30",89,61,75,56,65,0,10,NA,0,29,29,7,25,8,0
"3489",1,"2012-07-01",91,67,79,59,67,0,14,NA,0,29,29,4,27,6,0
"3509",1,"2012-07-02",84,66,75,59,65,0,10,NA,0,29,29,3,32,5,0
"3529",1,"2012-07-03",84,64,74,56,63,0,9,NA,0,29,29,2,33,4,0
"3549",1,"2012-07-04",88,67,78,67,70,0,13,NA,0,29,29,0,25,4,0
"3569",1,"2012-07-05",83,68,76,63,68,0,11,NA,0,29,29,3,35,5,0
"3589",1,"2012-07-06",88,64,76,63,68,0,11,NA,0,29,29,1,23,2,0
"3609",1,"2012-07-07",83,68,76,66,70,0,11,NA,0,29,29,3,26,3,0
"3629",1,"2012-07-08",88,64,76,58,65,0,11,NA,0,29,29,4,32,5,0
"3649",1,"2012-07-09",83,59,71,50,59,0,6,NA,0,29,29,3,32,4,0
"3669",1,"2012-07-10",84,55,70,50,59,0,5,NA,0,29,30,1,26,2,0
"3689",1,"2012-07-11",87,59,73,56,63,0,8,NA,0,29,30,2,13,3,0
"3709",1,"2012-07-12",89,63,76,60,67,0,11,NA,0,30,30,3,18,5,0
"3729",1,"2012-07-13",93,67,80,62,68,0,15,NA,0,29,30,5,21,6,0
"3749",1,"2012-07-14",93,71,82,64,70,0,17,NA,0,29,30,4,23,4,0
"3769",1,"2012-07-15",93,69,81,66,71,0,16,NA,0,29,30,4,21,4,0
"3789",1,"2012-07-16",92,73,83,68,72,0,18,NA,0,29,29,2,30,5,0
"3809",1,"2012-07-17",96,69,83,66,72,0,18,NA,0,29,29,7,22,8,0
"3829",1,"2012-07-18",89,73,81,69,NA,0,16,NA,0,NA,NA,1,33,3,0
"3849",1,"2012-07-19",84,65,75,56,NA,0,10,NA,0,29,NA,1,3,3,0
"3869",1,"2012-07-20",75,57,66,56,61,0,1,NA,0,29,30,3,7,4,0
"3889",1,"2012-07-21",83,54,69,52,60,0,4,NA,0,29,30,2,12,3,0
"3909",1,"2012-07-22",89,61,75,57,64,0,10,NA,0,29,30,6,21,6,0
"3929",1,"2012-07-23",88,66,77,65,69,0,12,NA,0,29,29,7,21,7,0
"3949",1,"2012-07-24",93,68,81,65,70,0,16,NA,0,29,29,3,26,7,0
"3969",1,"2012-07-25",84,62,73,51,60,0,8,NA,0,29,29,7,33,7,0
"3989",1,"2012-07-26",85,66,76,61,66,0,11,NA,0,29,29,1,20,4,0
"4009",1,"2012-07-27",77,67,72,65,67,0,7,NA,0,29,29,2,5,2,0
"4029",1,"2012-07-28",84,64,74,65,67,0,9,NA,0,29,29,4,6,5,0
"4049",1,"2012-07-29",75,61,68,61,64,0,3,NA,0,29,30,5,4,6,0
"4069",1,"2012-07-30",86,58,72,60,65,0,7,NA,0,29,30,2,20,4,0
"4089",1,"2012-07-31",80,62,71,62,65,0,6,NA,0,29,30,1,11,5,0
"4109",1,"2012-08-01",83,68,76,67,69,0,11,NA,0,29,29,1,22,3,0
"4129",1,"2012-08-02",90,69,80,69,72,0,15,NA,0,29,29,1,18,3,0
"4149",1,"2012-08-03",96,71,84,67,72,0,19,NA,0,29,29,5,23,6,0
"4169",1,"2012-08-04",92,70,81,68,72,0,16,NA,0,30,30,2,7,3,0
"4189",1,"2012-08-05",93,70,82,71,74,0,17,NA,0,29,30,6,20,7,0
"4209",1,"2012-08-06",85,63,74,62,67,0,9,NA,0,29,29,4,28,5,0
"4229",1,"2012-08-07",86,60,73,60,65,0,8,NA,0,29,29,2,20,3,0
"4249",1,"2012-08-08",92,63,78,62,68,0,13,NA,0,29,29,2,21,3,0
"4269",1,"2012-08-09",91,69,80,67,71,0,15,NA,0,29,29,3,17,4,0
"4289",1,"2012-08-10",86,72,79,70,72,0,14,NA,0,29,29,4,15,5,0
"4309",1,"2012-08-11",84,68,76,68,70,0,11,NA,0,29,29,1,6,3,0
"4329",1,"2012-08-12",87,72,80,69,72,0,15,NA,0,29,29,3,20,4,0
